 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.50000E+03 eV = 1.65372E+02 a.u.
 #
 # Element: Ca,  Z =  20,  atomic weight = 4.00780E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.66173E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 20
 #
 # Electron density: Read from file Data/z_020.d
 #                   Number of data points =  809
 #                   Volume integral = 2.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.88000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.28000E-23 cm**3
 #                            Bpol = 1.66771E+01
 #
 # Total elastic cross section = 7.73660E-17 cm**2 = 2.76279E+00 a0**2
 # 1st transport cross section = 2.01276E-18 cm**2 = 7.18769E-02 a0**2
 # 2nd transport cross section = 4.20342E-18 cm**2 = 1.50107E-01 a0**2
 #
 #    Absorption cross section = 3.04183E-17 cm**2 = 1.08626E+00 a0**2
 #   Grand total cross section = 1.07794E-16 cm**2 = 3.84940E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 2.11153E-14
7.61557E-13 2.11153E-14
1.18994E-12 2.11153E-14
1.71346E-12 2.11153E-14
2.33225E-12 2.11153E-14
3.04617E-12 2.11153E-14
3.85530E-12 2.11153E-14
4.75964E-12 2.11153E-14
5.75917E-12 2.11153E-14
6.85391E-12 2.11153E-14
8.04379E-12 2.11153E-14
9.32893E-12 2.11153E-14
1.07092E-11 2.11153E-14
1.21847E-11 2.11153E-14
1.37554E-11 2.11153E-14
1.54213E-11 2.11153E-14
1.71823E-11 2.11153E-14
1.90386E-11 2.11153E-14
2.09900E-11 2.11152E-14
2.30367E-11 2.11152E-14
2.51785E-11 2.11152E-14
2.74156E-11 2.11152E-14
2.97478E-11 2.11152E-14
3.21752E-11 2.11152E-14
3.46979E-11 2.11152E-14
3.73157E-11 2.11152E-14
4.00286E-11 2.11152E-14
4.28368E-11 2.11152E-14
4.57402E-11 2.11152E-14
4.87388E-11 2.11152E-14
5.18325E-11 2.11152E-14
5.50215E-11 2.11152E-14
5.83057E-11 2.11152E-14
6.16850E-11 2.11152E-14
6.51595E-11 2.11152E-14
6.87293E-11 2.11151E-14
7.23943E-11 2.11151E-14
7.61544E-11 2.11151E-14
1.18991E-10 2.11150E-14
1.71347E-10 2.11149E-14
2.33223E-10 2.11148E-14
3.04617E-10 2.11147E-14
3.85531E-10 2.11145E-14
4.75965E-10 2.11143E-14
5.75917E-10 2.11141E-14
6.85389E-10 2.11139E-14
8.04380E-10 2.11136E-14
9.32891E-10 2.11134E-14
1.07092E-09 2.11131E-14
1.21847E-09 2.11128E-14
1.37554E-09 2.11124E-14
1.54213E-09 2.11121E-14
1.71823E-09 2.11117E-14
1.90386E-09 2.11113E-14
2.09900E-09 2.11109E-14
2.30367E-09 2.11105E-14
2.51785E-09 2.11101E-14
2.74156E-09 2.11096E-14
2.97478E-09 2.11091E-14
3.21752E-09 2.11086E-14
3.46978E-09 2.11081E-14
