 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 7.00000E+03 eV = 2.57245E+02 a.u.
 #
 # Element: Ce,  Z =  58,  atomic weight = 1.40116E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.55750E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 58
 #
 # Electron density: Read from file Data/z_058.d
 #                   Number of data points =  863
 #                   Volume integral = 5.80000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.96000E-23 cm**3
 #                            Bpol = 2.08417E+01
 #
 # Total elastic cross section = 1.26287E-16 cm**2 = 4.50979E+00 a0**2
 # 1st transport cross section = 4.70744E-18 cm**2 = 1.68106E-01 a0**2
 # 2nd transport cross section = 7.81375E-18 cm**2 = 2.79034E-01 a0**2
 #
 #    Absorption cross section = 3.35566E-17 cm**2 = 1.19833E+00 a0**2
 #   Grand total cross section = 1.59862E-16 cm**2 = 5.70878E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 4.16763E-14
7.61557E-13 4.16763E-14
1.18994E-12 4.16763E-14
1.71346E-12 4.16763E-14
2.33225E-12 4.16763E-14
3.04617E-12 4.16763E-14
3.85530E-12 4.16763E-14
4.75964E-12 4.16763E-14
5.75917E-12 4.16763E-14
6.85391E-12 4.16763E-14
8.04379E-12 4.16763E-14
9.32893E-12 4.16763E-14
1.07092E-11 4.16763E-14
1.21847E-11 4.16762E-14
1.37554E-11 4.16762E-14
1.54213E-11 4.16762E-14
1.71823E-11 4.16762E-14
1.90386E-11 4.16762E-14
2.09900E-11 4.16762E-14
2.30367E-11 4.16762E-14
2.51785E-11 4.16762E-14
2.74156E-11 4.16762E-14
2.97478E-11 4.16762E-14
3.21752E-11 4.16762E-14
3.46979E-11 4.16761E-14
3.73157E-11 4.16761E-14
4.00286E-11 4.16761E-14
4.28368E-11 4.16761E-14
4.57402E-11 4.16761E-14
4.87388E-11 4.16761E-14
5.18325E-11 4.16761E-14
5.50215E-11 4.16760E-14
5.83057E-11 4.16760E-14
6.16850E-11 4.16760E-14
6.51595E-11 4.16760E-14
6.87293E-11 4.16760E-14
7.23943E-11 4.16760E-14
7.61544E-11 4.16759E-14
1.18991E-10 4.16757E-14
1.71347E-10 4.16755E-14
2.33223E-10 4.16752E-14
3.04617E-10 4.16749E-14
3.85531E-10 4.16745E-14
4.75965E-10 4.16741E-14
5.75917E-10 4.16736E-14
6.85389E-10 4.16731E-14
8.04380E-10 4.16725E-14
9.32891E-10 4.16719E-14
1.07092E-09 4.16712E-14
1.21847E-09 4.16706E-14
1.37554E-09 4.16698E-14
1.54213E-09 4.16690E-14
1.71823E-09 4.16682E-14
1.90386E-09 4.16673E-14
2.09900E-09 4.16664E-14
2.30367E-09 4.16654E-14
2.51785E-09 4.16644E-14
2.74156E-09 4.16634E-14
2.97478E-09 4.16623E-14
3.21752E-09 4.16611E-14
3.46978E-09 4.16599E-14
3.73156E-09 4.16587E-14
4.00286E-09 4.16574E-14
4.28368E-09 4.16561E-14
4.57402E-09 4.16547E-14
4.87388E-09 4.16533E-14
5.18326E-09 4.16519E-14
5.50215E-09 4.16504E-14
5.83057E-09 4.16488E-14
6.16850E-09 4.16472E-14
