 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 4.50000E+03 eV = 1.65372E+02 a.u.
 #
 # Element: Sc,  Z =  21,  atomic weight = 4.49559E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.80463E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 21
 #
 # Electron density: Read from file Data/z_021.d
 #                   Number of data points =  797
 #                   Volume integral = 2.10000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.78000E-23 cm**3
 #                            Bpol = 1.66771E+01
 #
 # Total elastic cross section = 6.80066E-17 cm**2 = 2.42856E+00 a0**2
 # 1st transport cross section = 1.42348E-18 cm**2 = 5.08336E-02 a0**2
 # 2nd transport cross section = 3.23997E-18 cm**2 = 1.15702E-01 a0**2
 #
 #    Absorption cross section = 3.56194E-17 cm**2 = 1.27199E+00 a0**2
 #   Grand total cross section = 1.03638E-16 cm**2 = 3.70096E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.03891E-15
7.61557E-13 2.03891E-15
1.18994E-12 2.03891E-15
1.71346E-12 2.03891E-15
2.33225E-12 2.03891E-15
3.04617E-12 2.03891E-15
3.85530E-12 2.03891E-15
4.75964E-12 2.03891E-15
5.75917E-12 2.03891E-15
6.85391E-12 2.03891E-15
8.04379E-12 2.03891E-15
9.32893E-12 2.03891E-15
1.07092E-11 2.03891E-15
1.21847E-11 2.03891E-15
1.37554E-11 2.03891E-15
1.54213E-11 2.03891E-15
1.71823E-11 2.03891E-15
1.90386E-11 2.03891E-15
2.09900E-11 2.03891E-15
2.30367E-11 2.03891E-15
2.51785E-11 2.03892E-15
2.74156E-11 2.03892E-15
2.97478E-11 2.03892E-15
3.21752E-11 2.03892E-15
3.46979E-11 2.03892E-15
3.73157E-11 2.03892E-15
4.00286E-11 2.03892E-15
4.28368E-11 2.03892E-15
4.57402E-11 2.03892E-15
4.87388E-11 2.03892E-15
5.18325E-11 2.03893E-15
5.50215E-11 2.03893E-15
5.83057E-11 2.03893E-15
6.16850E-11 2.03893E-15
6.51595E-11 2.03893E-15
6.87293E-11 2.03893E-15
7.23943E-11 2.03893E-15
7.61544E-11 2.03893E-15
1.18991E-10 2.03895E-15
1.71347E-10 2.03897E-15
2.33223E-10 2.03899E-15
3.04617E-10 2.03902E-15
3.85531E-10 2.03905E-15
4.75965E-10 2.03908E-15
5.75917E-10 2.03912E-15
6.85389E-10 2.03916E-15
8.04380E-10 2.03920E-15
9.32891E-10 2.03925E-15
1.07092E-09 2.03930E-15
1.21847E-09 2.03935E-15
1.37554E-09 2.03941E-15
1.54213E-09 2.03947E-15
1.71823E-09 2.03953E-15
1.90386E-09 2.03960E-15
2.09900E-09 2.03967E-15
2.30367E-09 2.03975E-15
2.51785E-09 2.03983E-15
2.74156E-09 2.03991E-15
2.97478E-09 2.03999E-15
3.21752E-09 2.04008E-15
3.46978E-09 2.04017E-15
3.73156E-09 2.04027E-15
4.00286E-09 2.04037E-15
4.28368E-09 2.04047E-15
4.57402E-09 2.04058E-15
4.87388E-09 2.04069E-15
5.18326E-09 2.04080E-15
5.50215E-09 2.04092E-15
5.83057E-09 2.04104E-15
6.16850E-09 2.04116E-15
6.51596E-09 2.04129E-15
6.87293E-09 2.04142E-15
7.23942E-09 2.04155E-15
7.61544E-09 2.04169E-15
1.18991E-08 2.04325E-15
1.71347E-08 2.04517E-15
