 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 6.00000E+03 eV = 2.20496E+02 a.u.
 #
 # Element: Ho,  Z =  67,  atomic weight = 1.64930E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.86792E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 67
 #
 # Electron density: Read from file Data/z_067.d
 #                   Number of data points =  841
 #                   Volume integral = 6.70000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.36000E-23 cm**3
 #                            Bpol = 1.92841E+01
 #
 # Total elastic cross section = 1.14327E-16 cm**2 = 4.08270E+00 a0**2
 # 1st transport cross section = 6.91720E-18 cm**2 = 2.47018E-01 a0**2
 # 2nd transport cross section = 1.02000E-17 cm**2 = 3.64249E-01 a0**2
 #
 #    Absorption cross section = 3.37277E-17 cm**2 = 1.20444E+00 a0**2
 #   Grand total cross section = 1.48068E-16 cm**2 = 5.28759E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 2.84567E-14
7.61557E-13 2.84567E-14
1.18994E-12 2.84567E-14
1.71346E-12 2.84567E-14
2.33225E-12 2.84567E-14
3.04617E-12 2.84567E-14
3.85530E-12 2.84567E-14
4.75964E-12 2.84567E-14
5.75917E-12 2.84567E-14
6.85391E-12 2.84567E-14
8.04379E-12 2.84567E-14
9.32893E-12 2.84567E-14
1.07092E-11 2.84567E-14
1.21847E-11 2.84566E-14
1.37554E-11 2.84566E-14
1.54213E-11 2.84566E-14
1.71823E-11 2.84566E-14
1.90386E-11 2.84566E-14
2.09900E-11 2.84566E-14
2.30367E-11 2.84566E-14
2.51785E-11 2.84566E-14
2.74156E-11 2.84566E-14
2.97478E-11 2.84566E-14
3.21752E-11 2.84566E-14
3.46979E-11 2.84566E-14
3.73157E-11 2.84566E-14
4.00286E-11 2.84566E-14
4.28368E-11 2.84565E-14
4.57402E-11 2.84565E-14
4.87388E-11 2.84565E-14
5.18325E-11 2.84565E-14
5.50215E-11 2.84565E-14
5.83057E-11 2.84565E-14
6.16850E-11 2.84565E-14
6.51595E-11 2.84565E-14
6.87293E-11 2.84565E-14
7.23943E-11 2.84564E-14
7.61544E-11 2.84564E-14
1.18991E-10 2.84563E-14
1.71347E-10 2.84561E-14
2.33223E-10 2.84559E-14
3.04617E-10 2.84557E-14
