 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+03 eV = 2.93995E+02 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file Data/z_008.d
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.97000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 8.02000E-25 cm**3
 #                            Bpol = 2.22907E+01
 #
 # Total elastic cross section = 8.61232E-18 cm**2 = 3.07551E-01 a0**2
 # 1st transport cross section = 1.59221E-19 cm**2 = 5.68587E-03 a0**2
 # 2nd transport cross section = 3.82607E-19 cm**2 = 1.36632E-02 a0**2
 #
 #    Absorption cross section = 5.97942E-18 cm**2 = 2.13529E-01 a0**2
 #   Grand total cross section = 1.45925E-17 cm**2 = 5.21107E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 5.74177E-16
7.61557E-13 5.74177E-16
1.18994E-12 5.74177E-16
1.71346E-12 5.74177E-16
2.33225E-12 5.74177E-16
3.04617E-12 5.74177E-16
3.85530E-12 5.74177E-16
4.75964E-12 5.74177E-16
5.75917E-12 5.74177E-16
6.85391E-12 5.74177E-16
8.04379E-12 5.74177E-16
9.32893E-12 5.74177E-16
1.07092E-11 5.74177E-16
1.21847E-11 5.74177E-16
1.37554E-11 5.74177E-16
1.54213E-11 5.74177E-16
1.71823E-11 5.74177E-16
1.90386E-11 5.74177E-16
2.09900E-11 5.74177E-16
2.30367E-11 5.74177E-16
2.51785E-11 5.74177E-16
2.74156E-11 5.74177E-16
2.97478E-11 5.74177E-16
3.21752E-11 5.74176E-16
3.46979E-11 5.74176E-16
3.73157E-11 5.74176E-16
4.00286E-11 5.74176E-16
4.28368E-11 5.74176E-16
4.57402E-11 5.74176E-16
4.87388E-11 5.74176E-16
5.18325E-11 5.74176E-16
5.50215E-11 5.74176E-16
5.83057E-11 5.74176E-16
6.16850E-11 5.74176E-16
6.51595E-11 5.74176E-16
6.87293E-11 5.74176E-16
7.23943E-11 5.74175E-16
7.61544E-11 5.74175E-16
1.18991E-10 5.74174E-16
1.71347E-10 5.74173E-16
2.33223E-10 5.74171E-16
3.04617E-10 5.74169E-16
