 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.50000E+03 eV = 1.65372E+02 a.u.
 #
 # Element: Be,  Z =   4,  atomic weight = 9.01220E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.22669E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  4
 #
 # Electron density: Read from file Data/z_004.d
 #                   Number of data points =  757
 #                   Volume integral = 4.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 2.73000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.60000E-24 cm**3
 #                            Bpol = 1.66771E+01
 #
 # Total elastic cross section = 1.00512E-17 cm**2 = 3.58936E-01 a0**2
 # 1st transport cross section = 1.21768E-19 cm**2 = 4.34840E-03 a0**2
 # 2nd transport cross section = 2.91671E-19 cm**2 = 1.04158E-02 a0**2
 #
 #    Absorption cross section = 1.34325E-17 cm**2 = 4.79683E-01 a0**2
 #   Grand total cross section = 2.34853E-17 cm**2 = 8.38674E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 2.30386E-15
7.61557E-13 2.30386E-15
1.18994E-12 2.30386E-15
1.71346E-12 2.30386E-15
2.33225E-12 2.30386E-15
3.04617E-12 2.30386E-15
3.85530E-12 2.30386E-15
4.75964E-12 2.30386E-15
5.75917E-12 2.30386E-15
6.85391E-12 2.30386E-15
8.04379E-12 2.30386E-15
9.32893E-12 2.30386E-15
1.07092E-11 2.30386E-15
1.21847E-11 2.30386E-15
1.37554E-11 2.30386E-15
1.54213E-11 2.30386E-15
1.71823E-11 2.30386E-15
1.90386E-11 2.30386E-15
2.09900E-11 2.30386E-15
2.30367E-11 2.30386E-15
2.51785E-11 2.30386E-15
2.74156E-11 2.30386E-15
2.97478E-11 2.30386E-15
3.21752E-11 2.30386E-15
3.46979E-11 2.30386E-15
3.73157E-11 2.30386E-15
4.00286E-11 2.30385E-15
4.28368E-11 2.30385E-15
4.57402E-11 2.30385E-15
4.87388E-11 2.30385E-15
5.18325E-11 2.30385E-15
5.50215E-11 2.30385E-15
5.83057E-11 2.30385E-15
6.16850E-11 2.30385E-15
6.51595E-11 2.30385E-15
6.87293E-11 2.30385E-15
7.23943E-11 2.30385E-15
7.61544E-11 2.30385E-15
1.18991E-10 2.30384E-15
1.71347E-10 2.30383E-15
2.33223E-10 2.30382E-15
3.04617E-10 2.30381E-15
