 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 9.00000E+03 eV = 3.30744E+02 a.u.
 #
 # Element: Ne,  Z =  10,  atomic weight = 2.01797E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.91310E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 10
 #
 # Electron density: Read from file Data/z_010.d
 #                   Number of data points =  649
 #                   Volume integral = 1.00000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.47646E+01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.95600E-25 cm**3
 #                            Bpol = 2.36511E+01
 #
 # Total elastic cross section = 7.43823E-18 cm**2 = 2.65624E-01 a0**2
 # 1st transport cross section = 1.63265E-19 cm**2 = 5.83031E-03 a0**2
 # 2nd transport cross section = 3.94079E-19 cm**2 = 1.40728E-02 a0**2
 #
 #    Absorption cross section = 3.57515E-18 cm**2 = 1.27671E-01 a0**2
 #   Grand total cross section = 1.10140E-17 cm**2 = 3.93316E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.93749E-16
7.61557E-13 1.93749E-16
1.18994E-12 1.93749E-16
1.71346E-12 1.93749E-16
2.33225E-12 1.93749E-16
3.04617E-12 1.93749E-16
3.85530E-12 1.93749E-16
4.75964E-12 1.93749E-16
5.75917E-12 1.93749E-16
6.85391E-12 1.93749E-16
8.04379E-12 1.93749E-16
9.32893E-12 1.93749E-16
1.07092E-11 1.93749E-16
1.21847E-11 1.93749E-16
1.37554E-11 1.93749E-16
1.54213E-11 1.93749E-16
1.71823E-11 1.93749E-16
1.90386E-11 1.93749E-16
2.09900E-11 1.93749E-16
2.30367E-11 1.93749E-16
2.51785E-11 1.93749E-16
2.74156E-11 1.93749E-16
2.97478E-11 1.93749E-16
3.21752E-11 1.93749E-16
3.46979E-11 1.93749E-16
3.73157E-11 1.93749E-16
4.00286E-11 1.93749E-16
4.28368E-11 1.93749E-16
4.57402E-11 1.93749E-16
4.87388E-11 1.93749E-16
5.18325E-11 1.93749E-16
5.50215E-11 1.93750E-16
5.83057E-11 1.93750E-16
6.16850E-11 1.93750E-16
6.51595E-11 1.93750E-16
6.87293E-11 1.93750E-16
7.23943E-11 1.93750E-16
7.61544E-11 1.93750E-16
1.18991E-10 1.93750E-16
1.71347E-10 1.93751E-16
2.33223E-10 1.93751E-16
3.04617E-10 1.93752E-16
3.85531E-10 1.93752E-16
4.75965E-10 1.93753E-16
