 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+02 eV = 3.67493E+00 a.u.
 #
 # Element: Na,  Z =  11,  atomic weight = 2.29898E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.04249E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 11
 #
 # Electron density: Read from file Data/z_011.d
 #                   Number of data points =  825
 #                   Volume integral = 1.10000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 2.10000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.40800E-23 cm**3
 #                            Bpol = 1.76777E+00
 #
 # Total elastic cross section = 5.70381E-16 cm**2 = 2.03687E+01 a0**2
 # 1st transport cross section = 1.25279E-16 cm**2 = 4.47379E+00 a0**2
 # 2nd transport cross section = 9.43990E-17 cm**2 = 3.37105E+00 a0**2
 #
 #    Absorption cross section = 5.20458E-16 cm**2 = 1.85859E+01 a0**2
 #   Grand total cross section = 1.09087E-15 cm**2 = 3.89556E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 2.35314E-14
7.61557E-13 2.35314E-14
1.18994E-12 2.35314E-14
1.71346E-12 2.35314E-14
2.33225E-12 2.35314E-14
3.04617E-12 2.35314E-14
3.85530E-12 2.35314E-14
4.75964E-12 2.35314E-14
5.75917E-12 2.35314E-14
6.85391E-12 2.35314E-14
8.04379E-12 2.35314E-14
9.32893E-12 2.35314E-14
1.07092E-11 2.35314E-14
1.21847E-11 2.35314E-14
1.37554E-11 2.35314E-14
1.54213E-11 2.35314E-14
1.71823E-11 2.35314E-14
1.90386E-11 2.35314E-14
2.09900E-11 2.35314E-14
2.30367E-11 2.35314E-14
2.51785E-11 2.35314E-14
2.74156E-11 2.35314E-14
2.97478E-11 2.35314E-14
3.21752E-11 2.35314E-14
3.46979E-11 2.35314E-14
3.73157E-11 2.35314E-14
4.00286E-11 2.35314E-14
4.28368E-11 2.35314E-14
4.57402E-11 2.35314E-14
4.87388E-11 2.35314E-14
5.18325E-11 2.35314E-14
5.50215E-11 2.35314E-14
5.83057E-11 2.35314E-14
6.16850E-11 2.35314E-14
6.51595E-11 2.35314E-14
6.87293E-11 2.35314E-14
7.23943E-11 2.35314E-14
7.61544E-11 2.35314E-14
1.18991E-10 2.35314E-14
1.71347E-10 2.35314E-14
2.33223E-10 2.35314E-14
3.04617E-10 2.35314E-14
