 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.25000E+03 eV = 4.59367E+01 a.u.
 #
 # Element: Ni,  Z =  28,  atomic weight = 5.86934E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.15828E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 28
 #
 # Electron density: Read from file Data/z_028.d
 #                   Number of data points =  753
 #                   Volume integral = 2.80000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 8.39800E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.80000E-24 cm**3
 #                            Bpol = 8.66025E+00
 #
 # Total elastic cross section = 1.04462E-16 cm**2 = 3.73040E+00 a0**2
 # 1st transport cross section = 7.76568E-18 cm**2 = 2.77317E-01 a0**2
 # 2nd transport cross section = 1.55391E-17 cm**2 = 5.54911E-01 a0**2
 #
 #    Absorption cross section = 8.54085E-17 cm**2 = 3.04999E+00 a0**2
 #   Grand total cross section = 1.89876E-16 cm**2 = 6.78058E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 7.98440E-16
7.61557E-13 7.98440E-16
1.18994E-12 7.98440E-16
1.71346E-12 7.98440E-16
2.33225E-12 7.98440E-16
3.04617E-12 7.98440E-16
3.85530E-12 7.98440E-16
4.75964E-12 7.98440E-16
5.75917E-12 7.98440E-16
6.85391E-12 7.98440E-16
8.04379E-12 7.98440E-16
9.32893E-12 7.98440E-16
1.07092E-11 7.98440E-16
1.21847E-11 7.98440E-16
1.37554E-11 7.98440E-16
1.54213E-11 7.98440E-16
1.71823E-11 7.98440E-16
1.90386E-11 7.98440E-16
2.09900E-11 7.98440E-16
2.30367E-11 7.98440E-16
2.51785E-11 7.98440E-16
2.74156E-11 7.98441E-16
2.97478E-11 7.98441E-16
3.21752E-11 7.98441E-16
3.46979E-11 7.98441E-16
3.73157E-11 7.98441E-16
4.00286E-11 7.98441E-16
4.28368E-11 7.98441E-16
4.57402E-11 7.98441E-16
4.87388E-11 7.98441E-16
5.18325E-11 7.98441E-16
5.50215E-11 7.98441E-16
5.83057E-11 7.98441E-16
6.16850E-11 7.98441E-16
6.51595E-11 7.98441E-16
6.87293E-11 7.98441E-16
7.23943E-11 7.98441E-16
7.61544E-11 7.98441E-16
1.18991E-10 7.98441E-16
1.71347E-10 7.98442E-16
2.33223E-10 7.98442E-16
3.04617E-10 7.98443E-16
3.85531E-10 7.98444E-16
4.75965E-10 7.98445E-16
5.75917E-10 7.98446E-16
6.85389E-10 7.98447E-16
8.04380E-10 7.98448E-16
9.32891E-10 7.98449E-16
1.07092E-09 7.98450E-16
1.21847E-09 7.98451E-16
