 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 5.00000E+02 eV = 1.83747E+01 a.u.
 #
 # Element: At,  Z =  85,  atomic weight = 2.09987E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.35987E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 85
 #
 # Electron density: Read from file Data/z_085.d
 #                   Number of data points =  755
 #                   Volume integral = 8.50000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 2.70000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.00000E-24 cm**3
 #                            Bpol = 5.30330E+00
 #
 # Total elastic cross section = 2.93364E-16 cm**2 = 1.04762E+01 a0**2
 # 1st transport cross section = 3.05464E-17 cm**2 = 1.09083E+00 a0**2
 # 2nd transport cross section = 5.50050E-17 cm**2 = 1.96426E+00 a0**2
 #
 #    Absorption cross section = 2.21292E-16 cm**2 = 7.90250E+00 a0**2
 #   Grand total cross section = 5.14666E-16 cm**2 = 1.83791E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.20831E-15
7.61557E-13 2.20831E-15
1.18994E-12 2.20831E-15
1.71346E-12 2.20831E-15
2.33225E-12 2.20831E-15
3.04617E-12 2.20831E-15
3.85530E-12 2.20831E-15
4.75964E-12 2.20831E-15
5.75917E-12 2.20831E-15
6.85391E-12 2.20831E-15
8.04379E-12 2.20831E-15
9.32893E-12 2.20831E-15
1.07092E-11 2.20831E-15
1.21847E-11 2.20831E-15
1.37554E-11 2.20831E-15
1.54213E-11 2.20831E-15
1.71823E-11 2.20831E-15
1.90386E-11 2.20831E-15
2.09900E-11 2.20831E-15
2.30367E-11 2.20831E-15
2.51785E-11 2.20831E-15
2.74156E-11 2.20831E-15
2.97478E-11 2.20831E-15
3.21752E-11 2.20831E-15
3.46979E-11 2.20831E-15
3.73157E-11 2.20831E-15
4.00286E-11 2.20831E-15
4.28368E-11 2.20831E-15
4.57402E-11 2.20831E-15
4.87388E-11 2.20831E-15
5.18325E-11 2.20831E-15
5.50215E-11 2.20831E-15
5.83057E-11 2.20831E-15
6.16850E-11 2.20831E-15
6.51595E-11 2.20831E-15
6.87293E-11 2.20831E-15
7.23943E-11 2.20831E-15
7.61544E-11 2.20831E-15
1.18991E-10 2.20831E-15
1.71347E-10 2.20831E-15
2.33223E-10 2.20831E-15
3.04617E-10 2.20831E-15
3.85531E-10 2.20831E-15
