 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.00000E+03 eV = 3.67493E+01 a.u.
 #
 # Element: Pd,  Z =  46,  atomic weight = 1.06420E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.07059E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 46
 #
 # Electron density: Read from file Data/z_046.d
 #                   Number of data points =  763
 #                   Volume integral = 4.60000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.53690E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 4.80000E-24 cm**3
 #                            Bpol = 7.70552E+00
 #
 # Total elastic cross section = 1.48934E-16 cm**2 = 5.31853E+00 a0**2
 # 1st transport cross section = 1.37421E-17 cm**2 = 4.90740E-01 a0**2
 # 2nd transport cross section = 2.68029E-17 cm**2 = 9.57150E-01 a0**2
 #
 #    Absorption cross section = 9.10373E-17 cm**2 = 3.25100E+00 a0**2
 #   Grand total cross section = 2.39977E-16 cm**2 = 8.56974E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 9.65753E-16
7.61557E-13 9.65753E-16
1.18994E-12 9.65753E-16
1.71346E-12 9.65753E-16
2.33225E-12 9.65753E-16
3.04617E-12 9.65753E-16
3.85530E-12 9.65753E-16
4.75964E-12 9.65753E-16
5.75917E-12 9.65753E-16
6.85391E-12 9.65753E-16
8.04379E-12 9.65753E-16
9.32893E-12 9.65753E-16
1.07092E-11 9.65753E-16
1.21847E-11 9.65753E-16
1.37554E-11 9.65753E-16
1.54213E-11 9.65753E-16
1.71823E-11 9.65753E-16
1.90386E-11 9.65753E-16
2.09900E-11 9.65753E-16
2.30367E-11 9.65753E-16
2.51785E-11 9.65753E-16
2.74156E-11 9.65753E-16
2.97478E-11 9.65753E-16
3.21752E-11 9.65753E-16
3.46979E-11 9.65753E-16
3.73157E-11 9.65753E-16
4.00286E-11 9.65753E-16
4.28368E-11 9.65753E-16
4.57402E-11 9.65753E-16
4.87388E-11 9.65753E-16
5.18325E-11 9.65753E-16
5.50215E-11 9.65753E-16
5.83057E-11 9.65753E-16
6.16850E-11 9.65753E-16
6.51595E-11 9.65753E-16
6.87293E-11 9.65753E-16
7.23943E-11 9.65753E-16
7.61544E-11 9.65753E-16
1.18991E-10 9.65753E-16
1.71347E-10 9.65753E-16
2.33223E-10 9.65753E-16
3.04617E-10 9.65753E-16
3.85531E-10 9.65753E-16
4.75965E-10 9.65753E-16
5.75917E-10 9.65753E-16
6.85389E-10 9.65754E-16
8.04380E-10 9.65754E-16
9.32891E-10 9.65754E-16
1.07092E-09 9.65754E-16
1.21847E-09 9.65754E-16
1.37554E-09 9.65755E-16
1.54213E-09 9.65755E-16
1.71823E-09 9.65755E-16
1.90386E-09 9.65756E-16
2.09900E-09 9.65756E-16
2.30367E-09 9.65756E-16
2.51785E-09 9.65757E-16
2.74156E-09 9.65757E-16
2.97478E-09 9.65757E-16
3.21752E-09 9.65758E-16
3.46978E-09 9.65758E-16
3.73156E-09 9.65758E-16
4.00286E-09 9.65759E-16
4.28368E-09 9.65759E-16
4.57402E-09 9.65760E-16
4.87388E-09 9.65760E-16
5.18326E-09 9.65761E-16
5.50215E-09 9.65761E-16
5.83057E-09 9.65762E-16
6.16850E-09 9.65762E-16
6.51596E-09 9.65763E-16
