 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.00000E+03 eV = 1.46997E+02 a.u.
 #
 # Element: Kr,  Z =  36,  atomic weight = 8.38000E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.68236E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 36
 #
 # Electron density: Read from file Data/z_036.d
 #                   Number of data points =  681
 #                   Volume integral = 3.60000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 9.91000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.48400E-24 cm**3
 #                            Bpol = 1.57123E+01
 #
 # Total elastic cross section = 8.39089E-17 cm**2 = 2.99644E+00 a0**2
 # 1st transport cross section = 5.44426E-18 cm**2 = 1.94418E-01 a0**2
 # 2nd transport cross section = 9.22758E-18 cm**2 = 3.29523E-01 a0**2
 #
 #    Absorption cross section = 1.95639E-17 cm**2 = 6.98639E-01 a0**2
 #   Grand total cross section = 1.03479E-16 cm**2 = 3.69529E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 4.38880E-15
7.61557E-13 4.38880E-15
1.18994E-12 4.38880E-15
1.71346E-12 4.38880E-15
2.33225E-12 4.38880E-15
3.04617E-12 4.38880E-15
3.85530E-12 4.38880E-15
4.75964E-12 4.38880E-15
5.75917E-12 4.38880E-15
6.85391E-12 4.38880E-15
8.04379E-12 4.38880E-15
9.32893E-12 4.38880E-15
1.07092E-11 4.38880E-15
1.21847E-11 4.38880E-15
1.37554E-11 4.38880E-15
1.54213E-11 4.38880E-15
1.71823E-11 4.38880E-15
1.90386E-11 4.38880E-15
2.09900E-11 4.38880E-15
2.30367E-11 4.38880E-15
2.51785E-11 4.38880E-15
2.74156E-11 4.38880E-15
2.97478E-11 4.38880E-15
3.21752E-11 4.38880E-15
3.46979E-11 4.38880E-15
3.73157E-11 4.38880E-15
4.00286E-11 4.38880E-15
4.28368E-11 4.38880E-15
4.57402E-11 4.38880E-15
4.87388E-11 4.38880E-15
5.18325E-11 4.38880E-15
5.50215E-11 4.38880E-15
5.83057E-11 4.38880E-15
6.16850E-11 4.38880E-15
6.51595E-11 4.38880E-15
6.87293E-11 4.38880E-15
7.23943E-11 4.38880E-15
7.61544E-11 4.38880E-15
1.18991E-10 4.38879E-15
1.71347E-10 4.38879E-15
2.33223E-10 4.38878E-15
3.04617E-10 4.38877E-15
