 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 2.00000E+02 eV = 7.34987E+00 a.u.
 #
 # Element: Mo,  Z =  42,  atomic weight = 9.59400E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.89836E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 42
 #
 # Electron density: Read from file Data/z_042.d
 #                   Number of data points =  787
 #                   Volume integral = 4.20000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 2.92400E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.28000E-23 cm**3
 #                            Bpol = 3.06186E+00
 #
 # Total elastic cross section = 2.76141E-16 cm**2 = 9.86116E+00 a0**2
 # 1st transport cross section = 3.86883E-17 cm**2 = 1.38159E+00 a0**2
 # 2nd transport cross section = 6.65792E-17 cm**2 = 2.37759E+00 a0**2
 #
 #    Absorption cross section = 5.60059E-16 cm**2 = 2.00001E+01 a0**2
 #   Grand total cross section = 8.36207E-16 cm**2 = 2.98615E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 5.03328E-15
7.61557E-13 5.03328E-15
1.18994E-12 5.03328E-15
1.71346E-12 5.03328E-15
2.33225E-12 5.03328E-15
3.04617E-12 5.03328E-15
3.85530E-12 5.03328E-15
4.75964E-12 5.03328E-15
5.75917E-12 5.03328E-15
6.85391E-12 5.03328E-15
8.04379E-12 5.03328E-15
9.32893E-12 5.03328E-15
1.07092E-11 5.03328E-15
1.21847E-11 5.03328E-15
1.37554E-11 5.03328E-15
1.54213E-11 5.03328E-15
1.71823E-11 5.03328E-15
1.90386E-11 5.03328E-15
2.09900E-11 5.03328E-15
2.30367E-11 5.03328E-15
2.51785E-11 5.03328E-15
2.74156E-11 5.03328E-15
2.97478E-11 5.03328E-15
3.21752E-11 5.03328E-15
3.46979E-11 5.03328E-15
3.73157E-11 5.03328E-15
4.00286E-11 5.03328E-15
4.28368E-11 5.03328E-15
4.57402E-11 5.03328E-15
4.87388E-11 5.03328E-15
5.18325E-11 5.03328E-15
5.50215E-11 5.03328E-15
5.83057E-11 5.03328E-15
6.16850E-11 5.03328E-15
6.51595E-11 5.03328E-15
6.87293E-11 5.03328E-15
7.23943E-11 5.03328E-15
7.61544E-11 5.03328E-15
1.18991E-10 5.03328E-15
1.71347E-10 5.03327E-15
2.33223E-10 5.03327E-15
3.04617E-10 5.03327E-15
3.85531E-10 5.03327E-15
4.75965E-10 5.03327E-15
