 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 2.00000E+02 eV = 7.34987E+00 a.u.
 #
 # Element:  N,  Z =   7,  atomic weight = 1.40067E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.57926E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  7
 #
 # Electron density: Read from file Data/z_007.d
 #                   Number of data points =  701
 #                   Volume integral = 7.00000E+00
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 7.73410E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.10000E-24 cm**3
 #                            Bpol = 3.06186E+00
 #
 # Total elastic cross section = 8.63188E-17 cm**2 = 3.08250E+00 a0**2
 # 1st transport cross section = 1.38611E-17 cm**2 = 4.94990E-01 a0**2
 # 2nd transport cross section = 2.67655E-17 cm**2 = 9.55814E-01 a0**2
 #
 #    Absorption cross section = 1.49103E-16 cm**2 = 5.32456E+00 a0**2
 #   Grand total cross section = 2.35424E-16 cm**2 = 8.40715E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.85821E-16
7.61557E-13 1.85821E-16
1.18994E-12 1.85821E-16
1.71346E-12 1.85821E-16
2.33225E-12 1.85821E-16
3.04617E-12 1.85821E-16
3.85530E-12 1.85821E-16
4.75964E-12 1.85821E-16
5.75917E-12 1.85821E-16
6.85391E-12 1.85821E-16
8.04379E-12 1.85821E-16
9.32893E-12 1.85821E-16
1.07092E-11 1.85821E-16
1.21847E-11 1.85821E-16
1.37554E-11 1.85821E-16
1.54213E-11 1.85821E-16
1.71823E-11 1.85821E-16
1.90386E-11 1.85821E-16
2.09900E-11 1.85821E-16
2.30367E-11 1.85821E-16
2.51785E-11 1.85821E-16
2.74156E-11 1.85821E-16
2.97478E-11 1.85821E-16
3.21752E-11 1.85821E-16
3.46979E-11 1.85821E-16
3.73157E-11 1.85821E-16
4.00286E-11 1.85821E-16
4.28368E-11 1.85821E-16
4.57402E-11 1.85821E-16
4.87388E-11 1.85821E-16
5.18325E-11 1.85821E-16
5.50215E-11 1.85821E-16
5.83057E-11 1.85821E-16
6.16850E-11 1.85821E-16
6.51595E-11 1.85821E-16
6.87293E-11 1.85821E-16
7.23943E-11 1.85821E-16
7.61544E-11 1.85821E-16
1.18991E-10 1.85821E-16
1.71347E-10 1.85821E-16
2.33223E-10 1.85821E-16
3.04617E-10 1.85821E-16
3.85531E-10 1.85821E-16
4.75965E-10 1.85821E-16
